
u=x^5+y^5+t^2
Parobolicheskai:
time:0
iteration:0
error:0
____________________________________________________________
|__________(r,z)|____________Q|________RealF|_______Q-RealF|
|(1,0938;1,0938)|  3,130547702|  3,130547702|   0,000000000|
|(1,1250;1,0938)|  3,367306322|  3,367306322|   0,000000000|
|(1,1563;1,0938)|  3,631884813|  3,631884813|   0,000000000|
|(1,1875;1,0938)|  3,926665872|  3,926665872|   0,000000000|
|(1,2188;1,0938)|  4,254164517|  4,254164517|   0,000000000|
|(1,2500;1,0938)|  4,617031664|  4,617031664|   0,000000000|
|(1,2813;1,0938)|  5,018057704|  5,018057704|   0,000000000|
|(1,3125;1,0938)|  5,460176080|  5,460176080|   0,000000000|
|(1,3438;1,0938)|  5,946466863|  5,946466863|   0,000000000|
|(1,3750;1,0938)|  6,480160326|  6,480160326|   0,000000000|
|(1,4063;1,0938)|  7,064640522|  7,064640522|   0,000000000|
|(1,4375;1,0938)|  7,703448862|  7,703448862|   0,000000000|
|(1,4688;1,0938)|  8,400287688|  8,400287688|   0,000000000|
|(1,5000;1,0938)|  9,159023851|  9,159023851|   0,000000000|
|(1,5313;1,0938)|  9,983692288|  9,983692288|   0,000000000|
|(1,5625;1,0938)|  10,878499597|  10,878499597|   0,000000000|
|(1,5938;1,0938)|  11,847827613|  11,847827613|   0,000000000|
|(1,6250;1,0938)|  12,896236986|  12,896236986|   0,000000000|
|(1,6563;1,0938)|  14,028470755|  14,028470755|   0,000000000|
|(1,6875;1,0938)|  15,249457926|  15,249457926|   0,000000000|
|(1,7188;1,0938)|  16,564317048|  16,564317048|   0,000000000|
|(1,7500;1,0938)|  17,978359789|  17,978359789|   0,000000000|
|(1,7813;1,0938)|  19,497094512|  19,497094512|   0,000000000|
|(1,8125;1,0938)|  21,126229852|  21,126229852|   0,000000000|
|(1,8438;1,0938)|  22,871678293|  22,871678293|   0,000000000|
|(1,8750;1,0938)|  24,739559740|  24,739559740|   0,000000000|
|(1,9063;1,0938)|  26,736205101|  26,736205101|   0,000000000|
|(1,9375;1,0938)|  28,868159860|  28,868159860|   0,000000000|
|(1,9688;1,0938)|  31,142187655|  31,142187655|   0,000000000|
|(2,0000;1,0938)|  33,565273851|  33,565273851|   0,000000000|
|(1,0000;1,1250)|  2,802032471|  2,802032471|   0,000000000|
|(1,0313;1,1250)|  2,968358070|  2,968358070|   0,000000000|
|(1,0625;1,1250)|  3,156113625|  3,156113625|   0,000000000|
|(1,0938;1,1250)|  3,367306322|  3,367306322|   0,000000000|
|(1,1250;1,1250)|  3,604064941|  3,604064941|   0,000000000|
|(1,1563;1,1250)|  3,868643433|  3,868643433|   0,000000000|
|(1,1875;1,1250)|  4,163424492|  4,163424492|   0,000000000|
|(1,2188;1,1250)|  4,490923136|  4,490923136|   0,000000000|
|(1,2500;1,1250)|  4,853790283|  4,853790283|   0,000000000|
|(1,2813;1,1250)|  5,254816324|  5,254816324|   0,000000000|
|(1,3125;1,1250)|  5,696934700|  5,696934700|   0,000000000|
|(1,3438;1,1250)|  6,183225483|  6,183225483|   0,000000000|
|(1,3750;1,1250)|  6,716918945|  6,716918945|   0,000000000|
|(1,4063;1,1250)|  7,301399142|  7,301399142|   0,000000000|
|(1,4375;1,1250)|  7,940207481|  7,940207481|   0,000000000|
|(1,4688;1,1250)|  8,637046307|  8,637046307|   0,000000000|
|(1,5000;1,1250)|  9,395782471|  9,395782471|   0,000000000|
|(1,5313;1,1250)|  10,220450908|  10,220450908|   0,000000000|
|(1,5625;1,1250)|  11,115258217|  11,115258217|   0,000000000|
|(1,5938;1,1250)|  12,084586233|  12,084586233|   0,000000000|
|(1,6250;1,1250)|  13,132995605|  13,132995605|   0,000000000|
|(1,6563;1,1250)|  14,265229374|  14,265229374|   0,000000000|
|(1,6875;1,1250)|  15,486216545|  15,486216545|   0,000000000|
|(1,7188;1,1250)|  16,801075667|  16,801075667|   0,000000000|
|(1,7500;1,1250)|  18,215118408|  18,215118408|   0,000000000|
|(1,7813;1,1250)|  19,733853132|  19,733853132|   0,000000000|
|(1,8125;1,1250)|  21,362988472|  21,362988472|   0,000000000|
|(1,8438;1,1250)|  23,108436912|  23,108436912|   0,000000000|
|(1,8750;1,1250)|  24,976318359|  24,976318359|   0,000000000|
|(1,9063;1,1250)|  26,972963721|  26,972963721|   0,000000000|
|(1,9375;1,1250)|  29,104918480|  29,104918480|   0,000000000|
|(1,9688;1,1250)|  31,378946275|  31,378946275|   0,000000000|
|(2,0000;1,1250)|  33,802032471|  33,802032471|   0,000000000|
|(1,0000;1,1563)|  3,066610962|  3,066610962|   0,000000000|
|(1,0313;1,1563)|  3,232936561|  3,232936561|   0,000000000|
