____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|         4|  -0,41767|  -0,80128|  -0,61680|  -0,87271|   2,00369|  -0,67529|  -0,21183|  -0,53808|  -0,12456|$|   0,11111|
|         5|   0,12953|  -0,22889|  -0,27753|  -0,02462|  -0,67529|   1,19325|  -0,01511|  -0,58162|  -0,22046|$|   2,88889|
|         6|  -0,06477|   0,06701|  -0,01835|  -0,10157|  -0,21183|  -0,01511|   0,80139|  -0,40738|  -0,08225|$|  -0,27778|
|         7|   0,12953|   0,00830|   0,14750|  -0,22776|  -0,53808|  -0,58162|  -0,40738|   1,06884|  -0,36693|$|   0,02778|
|         8|  -0,02511|   0,07342|  -0,03613|   0,08649|  -0,12456|  -0,22046|  -0,08225|  -0,36693|   0,64782|$|   0,72222|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|$|   1,00000|
|         1|  -0,19111|   1,42361|  -0,13424|  -0,24663|  -0,72429|  -0,24663|   0,07649|  -0,01249|   0,07649|$|   0,02778|
|         2|  -0,03778|  -0,13424|   0,78866|   0,09609|  -0,56849|  -0,28431|  -0,01375|   0,13594|  -0,03488|$|   0,72222|
|         3|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   1,00000|
|         4|  -0,35111|  -0,72429|  -0,56849|  -1,15512|   2,26397|  -0,60574|  -0,13407|  -0,42530|  -0,13938|$|   0,11111|
|         5|   0,10889|  -0,24663|  -0,28431|  -0,05129|  -0,60574|   1,23211|   0,03460|  -0,46519|  -0,21637|$|   2,88889|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|$|   1,00000|
|         7|   0,10889|  -0,01249|   0,13594|  -0,36725|  -0,42530|  -0,46519|  -0,22921|   1,26915|  -0,27211|$|   0,02778|
|         8|  -0,02111|   0,07649|  -0,03488|   0,13111|  -0,13938|  -0,21637|  -0,05531|  -0,27211|   0,70189|$|   0,72222|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|$|   1,00000|
|         1|  -0,19111|   1,42361|  -0,13424|  -0,24663|  -0,72429|  -0,24663|   0,07649|  -0,01249|   0,07649|$|   0,02778|
|         2|  -0,03778|  -0,13424|   0,78866|   0,09609|  -0,56849|  -0,28431|  -0,01375|   0,13594|  -0,03488|$|   0,05556|
|         3|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   1,00000|
|         4|  -0,35111|  -0,72429|  -0,56849|  -1,15512|   2,26397|  -0,60574|  -0,13407|  -0,42530|  -0,13938|$|   0,11111|
|         5|   0,10889|  -0,24663|  -0,28431|  -0,05129|  -0,60574|   1,23211|   0,03460|  -0,46519|  -0,21637|$|   0,22222|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|$|   1,00000|
|         7|   0,10889|  -0,01249|   0,13594|  -0,36725|  -0,42530|  -0,46519|  -0,22921|   1,26915|  -0,27211|$|   0,02778|
|         8|  -0,02111|   0,07649|  -0,03488|   0,13111|  -0,13938|  -0,21637|  -0,05531|  -0,27211|   0,70189|$|   0,05556|
____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   0,80000|  -0,23889|  -0,04722|  -0,23889|  -0,43889|   0,13611|  -0,04722|   0,13611|  -0,02639|$|  -0,52778|
|         1|  -0,23889|   1,40342|  -0,14421|  -0,29085|  -0,80942|  -0,22701|   0,06955|   0,01050|   0,07310|$|   0,02778|
|         2|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|$|   4,00000|
